# schema: laser-person-tracks/1
# table: frames
# bag: /home/nilum/laser-detection-annotator/moving_robot/moving_robot_0.mcap
# scan_topic: /scan
# annotation_frame: laser
# odom_frame: odom
# base_frame: base_link
# match_criterion: euclidean_xy
# match_threshold_m: 0.5
# generated: 2026-09-13T14:29:36
frame,scan_index,t_ns,robot_x,robot_y,robot_yaw,n_people,n_ignored
119,590,1789282112240867706,3.6485,-1.1345,-0.294208,0,0
120,595,1789282112740580226,3.697,-1.1492,-0.294966,0,0
121,600,1789282113241370426,3.7462,-1.1641,-0.29564,0,0
122,605,1789282113741077114,3.7953,-1.1791,-0.296437,0,0
123,610,1789282114239087173,3.8439,-1.194,-0.297865,0,0
124,615,1789282114738750046,3.893,-1.209,-0.298978,0,0
125,620,1789282115236410039,3.9416,-1.224,-0.300194,1,0
126,625,1789282115733688393,3.9899,-1.2389,-0.297865,1,0
127,630,1789282116236471770,4.0391,-1.254,-0.297231,1,0
128,635,1789282116739716396,4.0877,-1.2689,-0.298739,2,0
129,640,1789282117237540329,4.1361,-1.2839,-0.300461,2,0
130,645,1789282117731769345,4.1843,-1.2988,-0.299349,2,0
131,650,1789282118232798687,4.2329,-1.3138,-0.30114,2,0
132,655,1789282118732361119,4.2817,-1.329,-0.303576,1,0
133,660,1789282119232118583,4.3296,-1.3441,-0.304689,0,0
134,665,1789282119732424108,4.3784,-1.3593,-0.30187,0,0
135,670,1789282120230069379,4.4254,-1.374,-0.302315,0,0
136,675,1789282120730056968,4.4736,-1.389,-0.301203,0,0
137,680,1789282121230017649,4.5217,-1.4038,-0.299544,1,0
138,685,1789282121735951029,4.5718,-1.4193,-0.297979,1,0
139,690,1789282122233189587,4.6059,-1.4298,-0.298098,1,0
140,695,1789282122730591290,4.6058,-1.4298,-0.304708,1,0
141,700,1789282123231314602,4.6064,-1.43,-0.414675,1,0
142,705,1789282123728388905,4.608,-1.4307,-0.415025,2,0
143,710,1789282124226113415,4.6404,-1.445,-0.413934,1,0
144,715,1789282124726522957,4.6738,-1.4597,-0.414894,1,0
145,720,1789282125228934101,4.7089,-1.4751,-0.415413,1,0
146,725,1789282125726679000,4.7438,-1.4905,-0.415359,0,0
147,730,1789282126226694940,4.7797,-1.5064,-0.415634,0,0
148,735,1789282126726454774,4.8169,-1.5228,-0.415206,0,0
149,740,1789282127224915434,4.8543,-1.5393,-0.414076,0,0
150,745,1789282127721947812,4.8924,-1.556,-0.412451,0,0
151,750,1789282128222105544,4.9318,-1.5732,-0.413823,0,0
152,755,1789282128720385468,4.9707,-1.5903,-0.412064,0,0
153,760,1789282129217565361,5.0102,-1.6075,-0.410348,0,0
154,765,1789282129717616448,5.0502,-1.6249,-0.409251,0,0
155,770,1789282130220400121,5.0914,-1.6428,-0.408939,1,0
156,775,1789282130722749507,5.1332,-1.661,-0.411942,1,0
157,780,1789282131223069662,5.1748,-1.6791,-0.412701,2,0
158,785,1789282131722901699,5.2163,-1.6973,-0.410107,1,0
159,790,1789282132221100661,5.2576,-1.7151,-0.40716,1,0
160,795,1789282132721897953,5.3017,-1.7341,-0.408281,1,0
161,800,1789282133218624616,5.3442,-1.7526,-0.411119,1,0
162,805,1789282133716217814,5.3854,-1.7706,-0.412316,1,0
163,810,1789282134216179181,5.4286,-1.7894,-0.410136,1,0
164,815,1789282134716726053,5.4594,-1.8028,-0.406788,0,0
165,820,1789282135219231436,5.4593,-1.8027,-0.406146,0,0
166,825,1789282135718974863,5.4593,-1.8027,-0.406146,0,0
167,830,1789282136216992682,5.4593,-1.8027,-0.406146,0,0
168,835,1789282136717791103,5.4592,-1.8027,-0.538151,0,0
169,840,1789282137217391664,5.4592,-1.8026,-0.691298,0,0
170,845,1789282137714517150,5.4591,-1.8026,-0.857579,0,0
171,850,1789282138210153245,5.4591,-1.8025,-1.029548,0,0
172,855,1789282138710008910,5.4588,-1.802,-1.210613,0,0
173,860,1789282139213004171,5.4586,-1.8013,-1.399188,0,0
174,865,1789282139715256412,5.4586,-1.8011,-1.594581,0,0
175,870,1789282140212881295,5.4586,-1.8011,-1.79243,0,0
176,875,1789282140710738728,5.4586,-1.8011,-1.99586,0,0
177,880,1789282141208568310,5.4586,-1.8011,-2.201668,0,0
178,885,1789282141709584264,5.4582,-1.8015,-2.410984,0,0
179,890,1789282142208634003,5.4582,-1.8015,-2.627695,0,0
180,895,1789282142704365466,5.4581,-1.8016,-2.713797,0,0
181,900,1789282143206289751,5.4584,-1.8014,-2.867786,0,0
182,905,1789282143711324299,5.4584,-1.8014,-3.032357,0,0
183,910,1789282144208617485,5.4582,-1.8014,-3.197429,0,0
184,915,1789282144709017879,5.4579,-1.8014,-3.373303,0,0
185,920,1789282145211849292,5.4576,-1.8013,-3.557472,0,0
186,925,1789282145707290891,5.4568,-1.8008,-3.672753,0,0
187,930,1789282146204366712,5.4568,-1.8008,-3.672753,0,0
188,935,1789282146704390133,5.4568,-1.8008,-3.672753,0,0
189,940,1789282147201934036,5.4464,-1.7947,-3.670757,0,0
190,945,1789282147704949334,5.4145,-1.7761,-3.671063,0,0
191,950,1789282148208400362,5.3821,-1.7571,-3.672146,0,0
192,955,1789282148705233911,5.3492,-1.7378,-3.673653,2,0
193,960,1789282149208347873,5.3146,-1.7174,-3.674881,2,0
194,965,1789282149703764398,5.2809,-1.6974,-3.676559,2,0
195,970,1789282150200572522,5.246,-1.6768,-3.674848,1,0
196,975,1789282150701081191,5.2095,-1.6553,-3.672881,1,0
197,980,1789282151198659297,5.1733,-1.6341,-3.670969,1,0
198,985,1789282151698200655,5.1368,-1.6127,-3.670899,1,0
199,990,1789282152199260663,5.0995,-1.5909,-3.6723,1,0
200,995,1789282152703613245,5.0617,-1.5687,-3.671803,0,0
201,1000,1789282153201789338,5.0237,-1.5464,-3.67004,0,0
202,1005,1789282153701859758,4.9851,-1.5239,-3.669787,0,0
203,1010,1789282154201290914,4.946,-1.5011,-3.670403,0,0
204,1015,1789282154701643180,4.9069,-1.4782,-3.67003,0,0
205,1020,1789282155196464941,4.8675,-1.4552,-3.669045,0,0
206,1025,1789282155697187346,4.8278,-1.4321,-3.668474,0,0
207,1030,1789282156194465014,4.7876,-1.4087,-3.669268,0,0
208,1035,1789282156697275520,4.747,-1.385,-3.668687,0,0
209,1040,1789282157197246479,4.7058,-1.3611,-3.667211,0,0
210,1045,1789282157692701782,4.6656,-1.3377,-3.666748,0,0
211,1050,1789282158190372163,4.6243,-1.3139,-3.664595,0,0
212,1055,1789282158690338604,4.5823,-1.2897,-3.662993,0,0
213,1060,1789282159192864302,4.54,-1.2655,-3.662154,0,0
214,1065,1789282159695482497,4.4978,-1.2413,-3.659964,0,0
215,1070,1789282160195714432,4.4555,-1.2172,-3.657734,0,0
216,1075,1789282160693227132,4.4137,-1.1936,-3.658079,0,0
217,1080,1789282161191418483,4.3714,-1.1696,-3.655227,0,0
218,1085,1789282161691172818,4.3294,-1.1459,-3.655442,0,0
219,1090,1789282162193182601,4.2869,-1.1219,-3.655325,0,0
220,1095,1789282162691160402,4.2444,-1.098,-3.654461,0,0
221,1100,1789282163191401651,4.2017,-1.0739,-3.655695,2,0
222,1105,1789282163689478931,4.1592,-1.0499,-3.654212,2,0
223,1110,1789282164187430832,4.1165,-1.0259,-3.652518,2,0
224,1115,1789282164687049754,4.0734,-1.0017,-3.653382,2,0
225,1120,1789282165187046144,4.0301,-0.9775,-3.651987,2,0
226,1125,1789282165686762160,3.9864,-0.953,-3.649413,2,0
227,1130,1789282166184824798,3.9437,-0.9293,-3.649083,2,0
228,1135,1789282166684928709,3.9011,-0.9056,-3.650198,2,0
229,1140,1789282167184831728,3.8581,-0.8816,-3.648215,2,0
230,1145,1789282167685097142,3.8146,-0.8575,-3.647166,1,0
231,1150,1789282168180865077,3.7716,-0.8337,-3.647892,1,0
232,1155,1789282168680864987,3.7279,-0.8095,-3.647145,0,0
233,1160,1789282169183089486,3.688,-0.7873,-3.645784,0,0
234,1165,1789282169680591190,3.645,-0.7636,-3.645293,1,0
235,1170,1789282170181371259,3.6003,-0.7389,-3.642373,1,0
236,1175,1789282170679992369,3.5689,-0.7207,-3.679799,1,0
237,1180,1789282171181844493,3.5237,-0.6938,-3.676889,1,0
238,1185,1789282171684153216,3.4791,-0.6674,-3.673866,1,0
239,1190,1789282172182161113,3.4348,-0.6414,-3.67046,1,0
240,1195,1789282172677223815,3.3897,-0.6153,-3.665337,1,0
241,1200,1789282173172543096,3.3476,-0.5909,-3.664824,2,0
242,1205,1789282173671931736,3.3018,-0.5646,-3.661771,1,0
243,1210,1789282174174979267,3.2571,-0.539,-3.66284,1,0
244,1215,1789282174675117808,3.2128,-0.5135,-3.66237,1,0
245,1220,1789282175170090084,3.1695,-0.4888,-3.65877,1,0
246,1225,1789282175670928876,3.1259,-0.4641,-3.657281,1,0
247,1230,1789282176170273127,3.0822,-0.4393,-3.658392,1,0
248,1235,1789282176670848175,3.0384,-0.4144,-3.658291,1,0
249,1240,1789282177173126583,2.994,-0.3892,-3.655464,1,0
250,1245,1789282177673654185,2.9493,-0.3641,-3.653399,1,0
251,1250,1789282178171548432,2.9046,-0.339,-3.652528,2,0
252,1255,1789282178670919628,2.8599,-0.314,-3.648926,0,0
253,1260,1789282179170109784,2.8156,-0.2894,-3.649658,0,0
254,1265,1789282179671417658,2.771,-0.2645,-3.651708,0,0
255,1270,1789282180173301819,2.7269,-0.2398,-3.650504,0,0
256,1275,1789282180669868137,2.683,-0.2153,-3.648979,0,0
257,1280,1789282181167548899,2.6396,-0.1913,-3.647908,0,0
258,1285,1789282181669934031,2.5959,-0.167,-3.648279,0,0
259,1290,1789282182174960278,2.5512,-0.1423,-3.645683,0,0
260,1295,1789282182672334739,2.5076,-0.1181,-3.647614,0,0
261,1300,1789282183170514805,2.4638,-0.0939,-3.646504,1,0
262,1305,1789282183667554816,2.4206,-0.07,-3.645312,1,0
263,1310,1789282184168898487,2.3765,-0.0458,-3.645312,1,0
264,1315,1789282184668468760,2.3323,-0.0214,-3.64792,1,0
265,1320,1789282185172315618,2.2868,0.0039,-3.648574,1,0
266,1325,1789282185670735688,2.2425,0.0285,-3.647637,1,0
267,1330,1789282186166158730,2.1991,0.0524,-3.645683,1,0
268,1335,1789282186668997850,2.1548,0.0769,-3.645312,2,0
269,1340,1789282187172058418,2.1103,0.1014,-3.643555,2,0
270,1345,1789282187671557523,2.0662,0.1256,-3.643458,2,0
271,1350,1789282188171726842,2.0215,0.15,-3.642174,1,0
272,1355,1789282188669157063,1.9772,0.1742,-3.639129,1,0
273,1360,1789282189169550571,1.9327,0.1983,-3.639272,1,0
274,1365,1789282189664088784,1.8887,0.2223,-3.641615,1,0
275,1370,1789282190161788750,1.8448,0.2463,-3.643659,1,0
276,1375,1789282190662207888,1.8008,0.2705,-3.644007,2,0
277,1380,1789282191162354837,1.7569,0.2946,-3.644394,2,0
278,1385,1789282191664493780,1.7124,0.3191,-3.644737,2,0
279,1390,1789282192165058161,1.6683,0.3433,-3.644942,2,0
280,1395,1789282192662686662,1.6246,0.3675,-3.644756,1,0
281,1400,1789282193161562573,1.5795,0.3922,-3.643659,1,0
282,1405,1789282193660625912,1.5362,0.416,-3.6442,0,0
283,1410,1789282194158612049,1.4917,0.4405,-3.643293,0,0
284,1415,1789282194658667922,1.448,0.4644,-3.642122,0,0
285,1420,1789282195158505829,1.404,0.4886,-3.643957,0,0
286,1425,1789282195656850842,1.3593,0.513,-3.641968,1,0
287,1430,1789282196151241812,1.3145,0.5375,-3.641437,1,0
288,1435,1789282196649162837,1.2708,0.5615,-3.644981,1,0
289,1440,1789282197151448430,1.2275,0.5854,-3.648466,1,0
290,1445,1789282197654443923,1.1845,0.6095,-3.651534,1,0
291,1450,1789282198155305383,1.14,0.6343,-3.650081,0,0
292,1455,1789282198654578614,1.0963,0.6586,-3.650133,0,0
293,1460,1789282199152440230,1.0525,0.683,-3.649545,0,0
294,1465,1789282199651038340,1.0083,0.7076,-3.648023,0,0
295,1470,1789282200153378990,0.9639,0.7322,-3.649475,0,0
296,1475,1789282200652838168,0.9197,0.7568,-3.650716,0,0
297,1480,1789282201155515545,0.8757,0.7814,-3.650023,0,0
298,1485,1789282201652999878,0.8321,0.8056,-3.64865,0,0
299,1490,1789282202153887653,0.7881,0.83,-3.647251,0,0
300,1495,1789282202653688930,0.7436,0.8547,-3.648894,0,0
301,1500,1789282203156186507,0.6991,0.8795,-3.648395,1,0
302,1505,1789282203653505356,0.6553,0.9037,-3.647381,0,0
303,1510,1789282204149529926,0.6118,0.9279,-3.64865,1,0
304,1515,1789282204649480631,0.5764,0.9475,-3.647166,1,0
305,1520,1789282205154266281,0.5766,0.9474,-3.647908,1,0
306,1525,1789282205654113595,0.5766,0.9474,-3.647908,1,0
307,1530,1789282206151957990,0.5766,0.9474,-3.647908,1,0
308,1535,1789282206652434925,0.5766,0.9474,-3.647908,1,0
309,1540,1789282207152515650,0.5766,0.9474,-3.647908,1,0
310,1545,1789282207652582116,0.5766,0.9474,-3.647908,1,0
311,1550,1789282208153842545,0.5766,0.9474,-3.647908,1,0
312,1555,1789282208650223416,0.5766,0.9474,-3.647908,1,0
313,1560,1789282209149266107,0.5766,0.9474,-3.647908,1,0
314,1565,1789282209645737683,0.5766,0.9474,-3.647908,0,0
315,1570,1789282210144651613,0.5766,0.9474,-3.647908,1,0
316,1575,1789282210646415012,0.5766,0.9474,-3.647908,1,0
317,1580,1789282211150337335,0.5766,0.9474,-3.647908,1,0
318,1585,1789282211648912740,0.5766,0.9474,-3.647908,1,0
319,1590,1789282212146654022,0.5766,0.9474,-3.647908,1,0
320,1595,1789282212644141521,0.5766,0.9474,-3.647908,1,0
321,1600,1789282213144608068,0.5766,0.9474,-3.647908,2,0
